SmolLM2-135M-repeated-128-layer0 2 supported, 0 unsupported
SmolLM2-135M-prose-128-layer0 2 supported, 0 unsupported
SmolLM2-135M-prose-128-layer29 2 supported, 0 unsupported
SmolLM2-135M-prose-128-layer15 2 supported, 0 unsupported
SmolLM2-135M-code-128-layer0 2 supported, 0 unsupported
SmolLM2-135M-code-128-layer15 2 supported, 0 unsupported
SmolLM2-135M-repeated-128-layer15 2 supported, 0 unsupported
SmolLM2-135M-repeated-128-layer29 2 supported, 0 unsupported
SmolLM2-135M-code-128-layer29 2 supported, 0 unsupported
SmolLM2-135M-prose-512-layer0 2 supported, 0 unsupported
SmolLM2-135M-prose-512-layer15 2 supported, 0 unsupported
SmolLM2-135M-prose-512-layer29 2 supported, 0 unsupported
SmolLM2-135M-repeated-512-layer0 2 supported, 0 unsupported
SmolLM2-135M-code-512-layer0 2 supported, 0 unsupported
SmolLM2-135M-repeated-512-layer15 2 supported, 0 unsupported
SmolLM2-135M-repeated-512-layer29 2 supported, 0 unsupported
Qwen2.5-0.5B-prose-128-layer12 2 supported, 0 unsupported
SmolLM2-135M-code-512-layer15 2 supported, 0 unsupported
Qwen2.5-0.5B-prose-128-layer0 2 supported, 0 unsupported
Qwen2.5-0.5B-prose-128-layer23 2 supported, 0 unsupported
Qwen2.5-0.5B-repeated-128-layer12 2 supported, 0 unsupported
SmolLM2-135M-code-512-layer29 2 supported, 0 unsupported
Qwen2.5-0.5B-repeated-128-layer23 2 supported, 0 unsupported
Qwen2.5-0.5B-repeated-128-layer0 2 supported, 0 unsupported
Qwen2.5-0.5B-code-128-layer12 2 supported, 0 unsupported
Qwen2.5-0.5B-code-128-layer23 2 supported, 0 unsupported
Qwen2.5-0.5B-prose-512-layer12 2 supported, 0 unsupported
Qwen2.5-0.5B-prose-512-layer23 2 supported, 0 unsupported
Qwen2.5-0.5B-code-128-layer0 2 supported, 0 unsupported
Qwen2.5-0.5B-repeated-512-layer12 2 supported, 0 unsupported
Qwen2.5-0.5B-prose-512-layer0 2 supported, 0 unsupported
Qwen2.5-0.5B-repeated-512-layer23 2 supported, 0 unsupported
Qwen2.5-0.5B-code-512-layer12 2 supported, 0 unsupported
Qwen2.5-0.5B-code-512-layer23 2 supported, 0 unsupported
Qwen2.5-0.5B-code-512-layer0 2 supported, 0 unsupported
Qwen2.5-0.5B-repeated-512-layer0 2 supported, 0 unsupported
